ZCTA,density,classification
7076,953,2
7077,650,2
7078,646,2
7079,1941,1
7080,949,2
7081,1258,2
7082,290,2
7083,2117,1
7086,7069,2
7087,17734,1
7088,2946,2
7090,1573,2
7092,618,2
7093,19389,1
7094,1082,1
7095,1849,2
7102,3891,1
7103,5076,1
7104,6881,1
7105,3412,1
7106,7986,1
7107,7571,1
7108,6239,1
7109,3987,2
7110,3339,2
7111,6863,2
7112,5396,1
7114,500,1
7201,1263,1
7202,5993,1
7203,2794,1
7204,4060,2
7205,2587,2
7206,4893,1
7208,6537,1
7302,12231,1
7304,8034,1
7305,3750,1
7306,7364,1
7307,7095,1
7310,9415,1
7311,9448,1
7401,722,2
7403,459,2
7405,329,2
7407,2656,1
7410,2321,1
7416,233,2
7417,376,2
7418,155,2
7419,240,2
7420,641,2
7421,106,2
7422,198,2
7423,807,2
7424,1644,2
7430,370,2
7432,1772,2
7435,61,2
7436,513,2
7438,150,2
7439,362,2
7440,1050,2
7442,1438,2
7444,932,2
7446,972,2
7450,1470,2
7452,1443,2
7456,166,2
7457,768,2
7458,378,2
7460,38,3
7461,81,3
7462,160,2
7463,1656,2
7465,311,2
7470,804,2
7480,181,2
7481,863,2
7501,5608,1
7502,4900,1
7503,3646,1
7504,4545,1
7505,4359,1
7506,2236,1
7508,1514,2
7512,959,2
7513,5231,1
7514,6553,1
7522,7674,1
7524,4979,1
7601,4334,1
7603,3625,2
7604,2897,2
7605,2137,2
7606,1281,2
7607,2873,2
7620,95,2
7621,3163,1
7624,868,2
7626,1455,2
7627,773,2
7628,3209,2
7630,1124,2
7631,2045,1
7632,879,2
7640,869,2
7641,571,2
7642,1184,2
7643,2872,2
7644,4152,1
7645,695,2
7646,2701,2
7647,722,2
7648,708,2
7649,1134,2
7650,5601,1
7652,824,2
7656,1268,2
7657,1531,1
7660,2815,2
7661,2237,2
7662,2005,2
7663,1966,1
7666,2243,2
7670,1021,2
7675,1019,2
7676,1121,2
7677,563,2
7701,1032,2
7702,582,2
7703,196,2
7704,1228,2
7711,755,2
7712,1359,2
7716,720,2
7717,2115,2
7718,1023,2
7719,677,2
7720,3428,2
7721,1180,2
7722,90,3
7723,254,2
7724,720,2
7726,453,2
7727,115,2
7728,407,2
7730,1228,2
7731,372,2
7732,696,2
7733,316,2
7734,2803,2
7735,1436,2
7737,576,2
7738,395,2
7739,794,2
7740,2184,2
7746,466,2
7747,914,2
7748,727,2
7750,1390,2
7751,381,2
7753,865,2
7755,781,2
7756,5237,2
7757,827,2
7758,1166,2
7760,450,2
7762,1418,2
7764,834,2
7801,830,2
7803,452,2
7821,76,3
7822,45,3
7823,128,2
7825,44,3
7826,46,3
7827,34,3
7828,395,2
7830,97,3
