status,price,bed,bath,acre_lot,full_address,street,city,state,zip_code,house_size,sold_date
for_sale,629900,2,1,,"518-520 Putnam Ave Unit B, Cambridge, MA, 02139",518-520 Putnam Ave Unit B,Cambridge,Massachusetts,2139,1007,
for_sale,799900,2,1,0.17,"128 Elm St Unit 1, Belmont, MA, 02478",128 Elm St Unit 1,Belmont,Massachusetts,2478,1371,
for_sale,875000,3,3,,"45 Bates Rd Unit 45, Watertown, MA, 02472",45 Bates Rd Unit 45,Watertown,Massachusetts,2472,1870,
for_sale,995000,4,2,0.23,"27 Oakwood Rd, Newton, MA, 02466",27 Oakwood Rd,Newton,Massachusetts,2466,2358,
for_sale,1499000,3,4,,"1521 Beacon St Unit 3, Newton, MA, 02468",1521 Beacon St Unit 3,Newton,Massachusetts,2468,2240,
for_sale,700000,3,4,0.9,"91 North St, North Reading, MA, 01864",91 North St,North Reading,Massachusetts,1864,3526,
for_sale,959000,3,3,0.15,"160 Winchester Rd, Arlington, MA, 02474",160 Winchester Rd,Arlington,Massachusetts,2474,2968,
for_sale,599000,2,2,,"23 Exeter St Unit 1, Arlington, MA, 02474",23 Exeter St Unit 1,Arlington,Massachusetts,2474,1354,
for_sale,674900,2,1,,"6 Perry St Apt 6, Brookline, MA, 02445",6 Perry St Apt 6,Brookline,Massachusetts,2445,890,
for_sale,549000,1,1,,"114 Fenway St Unit G1, Fenway, MA, 02115",114 Fenway St Unit G1,Fenway,Massachusetts,2115,770,
for_sale,449000,1,1,,"1699 Cambridge St Apt 29, Cambridge, MA, 02138",1699 Cambridge St Apt 29,Cambridge,Massachusetts,2138,410,
for_sale,557000,1,1,,"2 Hawthorne Pl Apt 6J, Boston, MA, 02114",2 Hawthorne Pl Apt 6J,Boston,Massachusetts,2114,941,
for_sale,899000,2,2,,"74 Moreland St Apt 1, Somerville, MA, 02145",74 Moreland St Apt 1,Somerville,Massachusetts,2145,1289,
for_sale,910000,2,2,,"7 Dane St Unit C, Somerville, MA, 02143",7 Dane St Unit C,Somerville,Massachusetts,2143,1138,
for_sale,545000,2,1,0.02,"43 Forest Hills St Apt 3, Boston, MA, 02130",43 Forest Hills St Apt 3,Boston,Massachusetts,2130,862,
for_sale,997500,2,2,,"13 Claremont Park Unit 1, Boston, MA, 02118",13 Claremont Park Unit 1,Boston,Massachusetts,2118,1017,
for_sale,2000000,3,5,,"35 Fieldstone Way Unit 33, Wellesley, MA, 02482",35 Fieldstone Way Unit 33,Wellesley,Massachusetts,2482,3846,
for_sale,2000000,3,5,,"39 Fieldstone Way Unit 35, Wellesley, MA, 02482",39 Fieldstone Way Unit 35,Wellesley,Massachusetts,2482,3846,
for_sale,2695000,5,5,2.16,"30 Wilsondale St, Dover, MA, 02030",30 Wilsondale St,Dover,Massachusetts,2030,6302,
for_sale,841900,6,2,0.18,"56 Mount Vernon St, Dedham, MA, 02026",56 Mount Vernon St,Dedham,Massachusetts,2026,2910,
for_sale,635475,2,2,,"10 Taber St Unit 507, Boston, MA, 02119",10 Taber St Unit 507,Boston,Massachusetts,2119,935,
for_sale,2299000,5,5,7.8,"400 Great Pond Rd, North Andover, MA, 01845",400 Great Pond Rd,North Andover,Massachusetts,1845,3640,
